document,0,1,2,3,4,5,6,7,8,9,10
280,0.1149706,0.3992874,0.038364463,,0.09971835,,,0.33381033,,,
281,,0.18957815,0.04954338,0.20057924,0.39156702,0.034962893,,,,,0.1225454
282,,0.1433193,,0.3799256,0.1450361,,,,0.011221074,,0.30824628
283,,0.105057284,,,0.56304616,,,,,0.14994785,0.1545287
284,0.05591686,0.16879074,,0.278282,0.3863343,,,,,0.09705651,
285,,0.061128847,,0.691609,0.06990063,,,,0.017250758,0.15224503,
286,,0.07624901,,0.6138348,0.2971425,,,,,,
287,0.08160947,0.2108535,,0.14989476,0.31620458,0.08296555,,,,0.14646089,
288,,0.07281802,,0.6219836,0.17703605,0.06493763,,0.053170405,,,
289,0.037142202,0.08548498,,0.51778615,0.23077314,,0.09044619,,0.028044077,,
290,0.06419575,0.12413148,,0.5533986,0.20307048,,,,,,0.041765824
291,,0.18694288,,0.054278772,0.27035016,0.17702636,,0.29051197,,,
292,,0.13828215,,0.35340127,0.18530542,0.058312163,,0.075252466,,0.1809256,
293,,0.17730281,,0.068616785,0.40874562,,0.07203404,0.12700883,,,0.12824257
294,,0.23368195,0.05673989,0.23656042,0.30846253,,,,,,0.1460166
295,,0.026229165,,0.4402115,0.46279082,,,,,0.051475864,
296,,0.15659335,,0.06450402,0.42706993,,,0.1313151,,,0.19798787
297,0.05445447,,,0.81944937,,0.077385694,,0.041955918,,,
298,,0.19862165,,0.2627463,0.27034825,,,,0.011498691,,0.23593985
299,,0.13027507,,0.083406284,0.1089032,,,0.37606722,,,0.27900463
300,,0.10413057,,0.08139173,0.45676833,,,,,,0.33187348
301,0.056950558,0.06688319,,0.7091235,0.09422005,,,,,0.066178575,
302,,0.27084658,,,0.15688726,0.04083142,,0.3168222,,0.19129516,
303,0.0581905,0.14253034,,0.28698376,0.13943751,,,,0.025622698,0.25327653,0.08190493
304,,0.36326432,0.029981714,0.19917618,0.19321544,,,,,,0.19651711
305,,0.08851268,,0.6998728,0.1281863,,,,,,0.061865333
306,,0.023442777,,0.3959405,0.27612883,0.034283068,,,,0.25788167,
307,,0.40941966,,,0.15049252,,,0.22892319,,0.18909372,
308,,0.41394386,0.022638818,,,0.09321255,,,,0.14404792,0.30629513
309,,0.17078832,,0.40472487,0.3540682,,,,,0.053286698,
310,0.2520518,0.13514723,,0.022624891,0.33238396,,,0.23572126,,,
311,0.09032116,0.2482918,,,0.22572012,,,0.34564385,,0.069815464,
312,,0.26158458,0.044992838,0.22953558,0.21746005,,,,,,0.23037466
313,,0.06083212,,0.68409055,0.24400564,,,,,,
314,,0.33269083,,0.08829405,0.17161661,,,,0.018656185,,0.37182218
315,,,0.052807722,0.2374393,0.2618825,,,,,0.12261419,0.30317125
316,,0.38816833,0.03035706,0.19747652,0.19489148,0.036632497,,,,,0.14234982
317,,0.38731036,0.036334984,0.35122874,0.20903353,,,,,,
318,,0.47907597,,0.07465527,0.044046167,,0.13328096,0.07788935,,,0.17837682
319,,0.31160688,,0.072094195,0.295088,0.073739894,,,,,0.22835556
320,,0.27535203,,0.07360295,0.271868,,,0.36568284,,,
321,0.10174373,0.42882904,0.011676076,0.026454216,0.38585433,0.027133115,,,,,
322,,0.2435185,,0.054216713,0.41612768,0.039439894,,,,0.13151231,0.095554136
323,0.21205023,0.23615658,,0.033042174,0.2612803,,,,,0.099096134,0.13648246
324,,0.16368094,,0.24807326,0.15818015,0.08065198,,0.09811912,,,0.24046366
325,,0.13974486,,0.69882786,0.091815405,,,,,0.06305347,
326,0.06157996,0.24034104,,0.35660067,0.13333619,,,0.11310464,,,0.08453852
327,,0.4375415,,0.027908387,0.29622704,,,,,0.13568522,0.0850459
328,,0.1438703,,0.062888704,0.22000995,0.054658353,,,,,0.49897546
329,,0.28289962,0.037296284,,0.12092136,,,,,,0.53440005
330,,0.13878323,,0.56061184,0.11408993,0.028775532,,0.11004522,,,0.038420573
331,,0.5184724,,,0.30466884,0.14504193,,,0.011583062,,
332,,0.2919184,0.060786318,0.061602123,0.2130076,,,0.35112423,,,
333,,0.07619327,0.023502987,0.6765016,0.21352924,,,,,,
334,,0.18370828,,0.04612919,0.2885509,0.090349406,,,,,0.37537754
335,,0.21888448,,0.2608625,0.16481537,0.13567652,0.19134957,,0.015738426,,
336,,0.21189472,,0.10542757,0.5184874,0.0633309,,,,0.086238936,
337,,0.358925,0.035833277,0.20196052,0.24050845,0.08567663,,,,0.05800877,
338,,0.26368582,,0.22045125,0.14972852,0.0720141,,0.15860072,,0.053418618,0.07533564
339,,,,0.09863048,0.41500664,0.20120478,,,0.03907997,,0.22182834
340,,0.10593669,,0.14513163,0.59237546,0.014644518,,,,,0.12257654
341,0.11694743,0.34619507,,,0.15353975,,0.15368241,,0.0144094415,0.07093325,0.13067028
342,,0.2860423,0.04767041,0.055839114,0.32308432,0.033224653,,0.14543964,,,0.094332464
343,,0.17928578,,0.13860756,0.42492586,,,,0.010338818,,0.22460753
344,,0.18595655,0.011000701,0.38946554,0.31107056,,0.08920044,,,,
345,,0.18799314,,0.27597535,0.21321727,,,0.29640654,,,
346,,0.23192585,0.11284032,0.14444761,0.23517798,,,,,,0.2527564
347,,0.31249592,0.038233746,0.16576943,0.20684016,,,,,,0.25433585
348,,0.52816045,,,0.16392541,0.1069431,,,,,0.1777273
349,0.088191725,0.06284508,0.017570391,0.19074194,0.3631401,,,,,0.1720251,0.09591326
350,,0.035341956,,0.046653286,0.5581269,0.13596548,,,,0.20641722,
351,0.11332894,0.31911767,,0.04010386,0.37982446,0.118392736,,,0.011764897,,
